doc_n,date,title
2017125214.0,2019-01-21,УСТРОЙСТВО ЗАЩИТЫ ОТ КРАЖ И ОБЕСПЕЧЕНИЯ СОХРАННОСТИ БУТЫЛОК
2018142906.0,2020-06-05,ПОДАЮЩЕЕ УСТРОЙСТВО ДЛЯ СМЫВНОГО БАЧКА
2016138455.0,2018-03-30,ВСТРАИВАЕМАЯ КОРОБКА С МОНТАЖНОЙ КРЫШКОЙ
2016139345.0,2018-05-07,УПОРНЫЙ ЭЛЕМЕНТ ДЛЯ ДЕМПФЕРОВ РАЗДВИЖНЫХ ДВЕРЕЙ
2016140866.0,2018-04-26,"ГИДРАВЛИЧЕСКАЯ ПЕТЛЯ, В ЧАСТНОСТИ СКРЫТАЯ ПЕТЛЯ ДЛЯ ДВЕРЕЙ"
2016141914.0,2018-05-17,УСКОРЯЮЩЕЕ ИЛИ ТОРМОЗНОЕ УСТРОЙСТВО
2016149659.0,2018-06-25,"РЕГУЛИРУЕМЫЙ ВЕРТИКАЛЬНЫЙ ЭЛЕМЕНТ ЖЕСТКОСТИ С КУЛИСОЙ ДЛЯ УСТАНАВЛИВАЕМОЙ СТВОРКИ ОКНА, ДВЕРИ ИЛИ ПОДОБНОГО"
2017102323.0,2018-08-07,ФУРНИТУРА ДЛЯ РАЗДВИЖНОЙ ДВЕРИ
2017105034.0,2018-08-20,УЗЕЛ УНИТАЗА
2017105804.0,2018-09-24,ЭЛЕМЕНТ УПРАВЛЕНИЯ ДЛЯ ФУРНИТУРНОЙ СИСТЕМЫ
2017113315.0,2018-10-19,"ПЛАСТИКОВЫЙ БЛОК ИНФИЛЬТРАЦИИ, СИСТЕМА, СОДЕРЖАЩАЯ МНОЖЕСТВО ПЛАСТИКОВЫХ БЛОКОВ ИНФИЛЬТРАЦИИ"
2017114428.0,2018-10-29,МЕБЕЛЬНАЯ ПЕТЛЯ
2017115440.0,2018-11-13,ПРЕДМЕТ МЕБЕЛИ С РАЗДВИЖНЫМ МЕХАНИЗМОМ
2019117380.0,2020-12-08,"СИФОН ДЛЯ ВОДОСЛИВА, А ТАКЖЕ CНАБЖЕННЫЙ ИМ ВОДОСЛИВ"
2018105083.0,2019-08-14,"СОЕДИНИТЕЛЬНОЕ УСТРОЙСТВО, А ТАКЖЕ ОКНО ИЛИ ДВЕРЬ С СОЕДИНИТЕЛЬНЫМ УСТРОЙСТВОМ"
